tissue,AD_level,method,name,log2FC,FDR
MSBB_BM22,AD_likely,edgeR prefilter,NC_001460.1_region_1_34125__ID=id0,0.3459549611420869,0.5617716077857308
MSBB_BM22,AD_likely,edgeR prefilter,NC_001798.2_region_1_154675__ID=id0,-0.44167390899183784,0.5617716077857308
MSBB_BM22,AD_likely,edgeR prefilter,NC_000898.1_region_1_162114__ID=id0,0.8559364466098601,0.5617716077857308
MSBB_BM22,AD_likely,edgeR prefilter,NC_009823.1_region_1_9711__ID=id0,-0.15337345035241035,0.5853296835003519
MSBB_BM22,AD_likely,edgeR prefilter,NC_006273.2_region_1_235646__ID=id0,0.31254767031716213,0.5853296835003519
MSBB_BM22,AD_likely,edgeR prefilter,NC_001405.1_region_1_35937__ID=id0,-0.14133808056298924,0.5853296835003519
MSBB_BM22,AD_likely,edgeR prefilter,NC_002645.1_region_1_27317__ID=id0,-0.25444497717517695,0.5853296835003519
MSBB_BM22,AD_likely,edgeR prefilter,NC_009333.1_region_1_137969__ID=id0,-0.15447779774119755,0.5853296835003519
MSBB_BM22,AD_likely,edgeR prefilter,NC_001716.2_region_1_153080__ID=id0,0.248023005001855,0.754299880024434
MSBB_BM22,AD_likely,edgeR prefilter,NC_012959.1_region_1_34920__ID=id0,0.10490108772448387,0.8182589811412224
MSBB_BM22,AD_likely,edgeR prefilter,NC_001611.1_region_1_185578__ID=id0,-0.07716577359247442,0.8182589811412224
MSBB_BM22,AD_likely,edgeR prefilter,NC_009825.1_region_1_9355__ID=id0,0.03856695653949809,0.890256631496196
MSBB_BM22,AD_likely,edgeR prefilter,NC_001664.2_region_1_159322__ID=id0,0.04555570640519513,0.8954649512630005
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001806.2_region_1_152222__ID=id0,0.443122360637623,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001798.2_region_1_154675__ID=id0,-0.45489386314458574,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_000898.1_region_1_162114__ID=id0,0.8021649652187216,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001460.1_region_1_34125__ID=id0,0.3064475066106534,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_009823.1_region_1_9711__ID=id0,-0.16397657537732221,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_009333.1_region_1_137969__ID=id0,-0.1862409991902307,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_002645.1_region_1_27317__ID=id0,-0.26893281743513103,0.6135533575000758
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001405.1_region_1_35937__ID=id0,-0.12358212027169677,0.6798632105808387
MSBB_BM22,AD_likely,edgeR no prefilter,NC_006273.2_region_1_235646__ID=id0,0.2347904538288061,0.6798632105808387
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001611.1_region_1_185578__ID=id0,-0.10973330936544806,0.8109179691695638
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001716.2_region_1_153080__ID=id0,0.16308631811929944,0.8678590216518806
MSBB_BM22,AD_likely,edgeR no prefilter,NC_012959.1_region_1_34920__ID=id0,0.06945922705019608,0.9183669159166543
